dataset,track_id,group,fold
harmonix,0001_12step,harmonix:ciara,0
harmonix,0003_6foot7foot,harmonix:lil wayne,4
harmonix,0004_abc,harmonix:the jackson 5,4
harmonix,0005_again,harmonix:flyleaf,5
harmonix,0006_aint2proud2beg,harmonix:tlc,1
harmonix,0008_america,harmonix:spın̈al tap,2
harmonix,0009_americanmusic,harmonix:violent femmes,1
harmonix,0011_areyouexperienced,harmonix:the jimi hendrix experience,5
harmonix,0012_aroundtheworld,harmonix:daft punk,3
harmonix,0014_babaoriley,harmonix:the who,5
harmonix,0015_babygotback,harmonix:sir mix-a-lot,0
harmonix,0017_badromance,harmonix:lady gaga,2
harmonix,0018_bassdownlow,harmonix:dev,6
harmonix,0020_becauseofyou,harmonix:ne-yo,7
harmonix,0021_better,harmonix:guns n' roses,1
harmonix,0022_betteroffalone,harmonix:alice deejay,2
harmonix,0023_bewareoftheboys,harmonix:panjabi mc,3
harmonix,0024_billionaire,harmonix:travie mccoy,0
harmonix,0026_blackandyellow,harmonix:wiz khalifa,3
harmonix,0027_blackened,harmonix:metallica,6
harmonix,0028_blackmagic,harmonix:baboon,2
harmonix,0032_boomboompow,harmonix:the bravery,0
harmonix,0035_boyfriend,harmonix:justin bieber,6
harmonix,0036_breakingthegirl,harmonix:red hot chili peppers,5
harmonix,0037_breakyourheart,harmonix:taio cruz,0
harmonix,0038_bringmetolife,harmonix:evanescence,1
harmonix,0039_bulletproof,harmonix:la roux,4
harmonix,0040_bustamove,harmonix:young mc,1
harmonix,0041_calabria,harmonix:enur,2
harmonix,0042_callme,harmonix:the wolf banes,5
harmonix,0043_callmemaybe,harmonix:carly rae jepsen,5
harmonix,0044_cameraeye,harmonix:rush,1
harmonix,0045_cantgetyou,harmonix:kylie minogue,7
harmonix,0046_castlesmadeofsand,harmonix:the jimi hendrix experience,5
harmonix,0047_chinacatsunflower,harmonix:grateful dead,5
harmonix,0048_chingaling,harmonix:missy elliott,5
harmonix,0049_closer,harmonix:ne‐yo,4
harmonix,0050_clubcanthandleme,harmonix:flo rida,6
harmonix,0053_commander,harmonix:kelly rowland,3
harmonix,0054_conceited,harmonix:remy ma,5
